From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (GO)	Gene Ontology IDs
Q9NRW1	Q9NRW1	reviewed	RAB6B_HUMAN	Ras-related protein Rab-6B (EC 3.6.5.2)	RAB6B	ciliary basal body [GO:0036064]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; G protein activity [GO:0003925]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; metal ion binding [GO:0046872]; myosin V binding [GO:0031489]; Golgi organization [GO:0007030]; intra-Golgi vesicle-mediated transport [GO:0006891]; intracellular protein transport [GO:0006886]; neuron projection development [GO:0031175]; protein localization to Golgi membrane [GO:1903292]; retrograde transport, endosome to Golgi [GO:0042147]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	GO:0000139; GO:0003924; GO:0003925; GO:0005525; GO:0005654; GO:0005793; GO:0005794; GO:0005829; GO:0006886; GO:0006890; GO:0006891; GO:0007030; GO:0012505; GO:0031175; GO:0031410; GO:0031489; GO:0036064; GO:0042147; GO:0046872; GO:1903292
O43182	O43182	reviewed	RHG06_HUMAN	Rho GTPase-activating protein 6 (Rho-type GTPase-activating protein 6) (Rho-type GTPase-activating protein RhoGAPX-1)	ARHGAP6 RHOGAP6	actin cytoskeleton [GO:0015629]; actin filament [GO:0005884]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; GTPase activator activity [GO:0005096]; phospholipase activator activity [GO:0016004]; phospholipase binding [GO:0043274]; SH3 domain binding [GO:0017124]; actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; focal adhesion assembly [GO:0048041]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of stress fiber assembly [GO:0051497]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of phospholipase C/protein kinase C signal transduction [GO:0141214]; regulation of small GTPase mediated signal transduction [GO:0051056]; Rho protein signal transduction [GO:0007266]	GO:0005096; GO:0005737; GO:0005829; GO:0005884; GO:0007015; GO:0007266; GO:0015629; GO:0016004; GO:0017124; GO:0030041; GO:0043274; GO:0048041; GO:0051056; GO:0051497; GO:0051895; GO:0072686; GO:0141214; GO:1902533
Q8IZ20	Q8IZ20	reviewed	ZN683_HUMAN	Tissue-resident T-cell transcription regulator protein ZNF683 (Homolog of Blimp-1 in T-cell) (Hobit) (Zinc finger protein 683)	ZNF683	nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]; adaptive immune response [GO:0002250]; cellular response to ionomycin [GO:1904637]; innate immune response [GO:0045087]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; positive regulation of gene expression [GO:0010628]; regulation of extrathymic T cell differentiation [GO:0033082]; regulation of gene expression [GO:0010468]; regulation of natural killer cell differentiation [GO:0032823]; regulation of natural killer cell differentiation involved in immune response [GO:0032826]; regulation of NK T cell differentiation [GO:0051136]; regulation of transcription by RNA polymerase II [GO:0006357]; T cell receptor signaling pathway [GO:0050852]	GO:0000122; GO:0000978; GO:0002250; GO:0003700; GO:0005634; GO:0006357; GO:0008270; GO:0010468; GO:0010628; GO:0032689; GO:0032823; GO:0032826; GO:0033082; GO:0045087; GO:0050852; GO:0051136; GO:1904637; GO:1990841
Q99705	Q99705	reviewed	MCHR1_HUMAN	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCH-R1) (MCHR-1) (G-protein coupled receptor 24) (MCH-1R) (MCH1R) (MCHR) (SLC-1) (Somatostatin receptor-like protein)	MCHR1 GPR24 SLC1	ciliary membrane [GO:0060170]; cilium [GO:0005929]; neuron projection [GO:0043005]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; hormone binding [GO:0042562]; melanin-concentrating hormone receptor activity [GO:0030273]; neuropeptide binding [GO:0042923]; neuropeptide receptor activity [GO:0008188]; signaling receptor binding [GO:0005102]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; cell surface receptor signaling pathway [GO:0007166]; feeding behavior [GO:0007631]; G protein-coupled receptor signaling pathway [GO:0007186]; generation of precursor metabolites and energy [GO:0006091]; neuropeptide signaling pathway [GO:0007218]; positive regulation of calcium ion transport [GO:0051928]; positive regulation of cytosolic calcium ion concentration [GO:0007204]	GO:0004930; GO:0005102; GO:0005886; GO:0005929; GO:0006091; GO:0007166; GO:0007186; GO:0007193; GO:0007204; GO:0007218; GO:0007631; GO:0008188; GO:0030273; GO:0042562; GO:0042923; GO:0043005; GO:0051928; GO:0060170; GO:0097730
P26440	P26440	reviewed	IVD_HUMAN	Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)	IVD	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; 3-methylbutanoyl-CoA dehydrogenase activity [GO:0008470]; flavin adenine dinucleotide binding [GO:0050660]; identical protein binding [GO:0042802]; branched-chain amino acid catabolic process [GO:0009083]; fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; L-leucine catabolic process [GO:0006552]	GO:0005654; GO:0005739; GO:0005759; GO:0006552; GO:0008470; GO:0009083; GO:0033539; GO:0042802; GO:0050660
Q07864	Q07864	reviewed	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	POLE POLE1	epsilon DNA polymerase complex [GO:0008622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; zinc ion binding [GO:0008270]; base-excision repair, gap-filling [GO:0006287]; DNA replication [GO:0006260]; DNA replication proofreading [GO:0045004]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-templated DNA replication [GO:0006261]; embryonic organ development [GO:0048568]; G1/S transition of mitotic cell cycle [GO:0000082]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair, DNA gap filling [GO:0006297]	GO:0000082; GO:0000166; GO:0000278; GO:0000731; GO:0003677; GO:0003682; GO:0003887; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006261; GO:0006272; GO:0006287; GO:0006297; GO:0008270; GO:0008310; GO:0008622; GO:0045004; GO:0048568; GO:0051539
Q9BX74	Q9BX74	reviewed	TM2D1_HUMAN	TM2 domain-containing protein 1 (Amyloid-beta-binding protein) (hBBP)	TM2D1 BBP	plasma membrane [GO:0005886]; amyloid-beta binding [GO:0001540]; G protein-coupled receptor activity [GO:0004930]; apoptotic signaling pathway [GO:0097190]	GO:0001540; GO:0004930; GO:0005886; GO:0097190
O15027	O15027	reviewed	SC16A_HUMAN	Protein transport protein Sec16A (SEC16 homolog A) (p250)	SEC16A KIAA0310 SEC16 SEC16L	cytosol [GO:0005829]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; organelle membrane [GO:0031090]; perinuclear region of cytoplasm [GO:0048471]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; Golgi to plasma membrane transport [GO:0006893]; protein exit from endoplasmic reticulum [GO:0032527]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein localization to plasma membrane [GO:0072659]; protein stabilization [GO:0050821]; regulation of COPII vesicle coating [GO:0003400]; response to endoplasmic reticulum stress [GO:0034976]; substantia nigra development [GO:0021762]	GO:0000139; GO:0003400; GO:0005789; GO:0005829; GO:0006888; GO:0006893; GO:0007029; GO:0007030; GO:0012507; GO:0021762; GO:0031090; GO:0032527; GO:0034976; GO:0048471; GO:0050821; GO:0070971; GO:0070973; GO:0072659
Q6NW34	Q6NW34	reviewed	RMP64_HUMAN	Ribonuclease MRP subunit P64 (Nucleolus and neural progenitor protein)	RMP64 C3orf17 NEPRO	nucleolus [GO:0005730]; nucleus [GO:0005634]; ribonuclease MRP complex [GO:0000172]; negative regulation of neuron differentiation [GO:0045665]; positive regulation of Notch signaling pathway [GO:0045747]; RNA processing [GO:0006396]	GO:0000172; GO:0005634; GO:0005730; GO:0006396; GO:0045665; GO:0045747
Q04759	Q04759	reviewed	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	aggresome [GO:0016235]; centriolar satellite [GO:0034451]; cytosol [GO:0005829]; immunological synapse [GO:0001772]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; diacylglycerol-dependent serine/threonine kinase activity [GO:0004697]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; zinc ion binding [GO:0008270]; axon guidance [GO:0007411]; CD4-positive, alpha-beta T cell proliferation [GO:0035739]; cell chemotaxis [GO:0060326]; Fc-epsilon receptor signaling pathway [GO:0038095]; inflammatory response [GO:0006954]; intracellular signal transduction [GO:0035556]; membrane protein ectodomain proteolysis [GO:0006509]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of T cell apoptotic process [GO:0070233]; positive regulation of CD4-positive, alpha-beta T cell proliferation [GO:2000563]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell activation [GO:0050870]; positive regulation of T-helper 17 type immune response [GO:2000318]; positive regulation of T-helper 2 cell activation [GO:2000570]; positive regulation of telomere maintenance [GO:0032206]; regulation of cell growth [GO:0001558]; regulation of DNA-templated transcription [GO:0006355]; regulation of platelet aggregation [GO:0090330]	GO:0001558; GO:0001772; GO:0004672; GO:0004674; GO:0004697; GO:0005524; GO:0005829; GO:0005886; GO:0006355; GO:0006509; GO:0006954; GO:0007411; GO:0008270; GO:0016235; GO:0032206; GO:0032740; GO:0032743; GO:0032753; GO:0034451; GO:0035556; GO:0035739; GO:0038095; GO:0046627; GO:0050870; GO:0051092; GO:0060326; GO:0070233; GO:0090330; GO:0106310; GO:2000318; GO:2000563; GO:2000570
O95376	O95376	reviewed	ARI2_HUMAN	E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (Triad1 protein)	ARIH2 ARI2 TRIAD1 HT005	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; developmental cell growth [GO:0048588]; hematopoietic stem cell proliferation [GO:0071425]; positive regulation of protein targeting to mitochondrion [GO:1903955]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]; protein K63-linked ubiquitination [GO:0070534]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000151; GO:0000209; GO:0004842; GO:0005634; GO:0005654; GO:0005737; GO:0006511; GO:0008270; GO:0016567; GO:0031624; GO:0043161; GO:0048588; GO:0061630; GO:0070534; GO:0070936; GO:0071425; GO:1903955
Q04656	Q04656	reviewed	ATP7A_HUMAN	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; melanosome membrane [GO:0033162]; membrane [GO:0016020]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; trans-Golgi network transport vesicle [GO:0030140]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; copper-dependent protein binding [GO:0032767]; cuprous ion binding [GO:1903136]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; superoxide dismutase copper chaperone activity [GO:0016532]; ATP metabolic process [GO:0046034]; blood vessel development [GO:0001568]; blood vessel remodeling [GO:0001974]; cartilage development [GO:0051216]; catecholamine metabolic process [GO:0006584]; central nervous system neuron development [GO:0021954]; cerebellar Purkinje cell differentiation [GO:0021702]; collagen fibril organization [GO:0030199]; copper ion export [GO:0060003]; copper ion import [GO:0015677]; copper ion transport [GO:0006825]; dendrite morphogenesis [GO:0048813]; detoxification of copper ion [GO:0010273]; dopamine metabolic process [GO:0042417]; elastic fiber assembly [GO:0048251]; epinephrine metabolic process [GO:0042414]; establishment of localization in cell [GO:0051649]; extracellular matrix organization [GO:0030198]; glycoprotein biosynthetic process [GO:0009101]; hair follicle morphogenesis [GO:0031069]; intracellular copper ion homeostasis [GO:0006878]; L-tryptophan metabolic process [GO:0006568]; locomotory behavior [GO:0007626]; lung alveolus development [GO:0048286]; mitochondrion organization [GO:0007005]; negative regulation of catecholamine metabolic process [GO:0045914]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron projection morphogenesis [GO:0048812]; norepinephrine biosynthetic process [GO:0042421]; norepinephrine metabolic process [GO:0042415]; pigmentation [GO:0043473]; positive regulation of melanin biosynthetic process [GO:0048023]; pyramidal neuron development [GO:0021860]; regulation of gene expression [GO:0010468]; regulation of oxidative phosphorylation [GO:0002082]; release of cytochrome c from mitochondria [GO:0001836]; removal of superoxide radicals [GO:0019430]; serotonin metabolic process [GO:0042428]; skin development [GO:0043588]; T-helper cell differentiation [GO:0042093]; tyrosine metabolic process [GO:0006570]	GO:0001568; GO:0001836; GO:0001974; GO:0002082; GO:0005375; GO:0005507; GO:0005524; GO:0005770; GO:0005783; GO:0005794; GO:0005802; GO:0005829; GO:0005886; GO:0006568; GO:0006570; GO:0006584; GO:0006825; GO:0006878; GO:0007005; GO:0007626; GO:0009101; GO:0010273; GO:0010468; GO:0014069; GO:0015677; GO:0016020; GO:0016323; GO:0016532; GO:0016887; GO:0019430; GO:0021702; GO:0021860; GO:0021954; GO:0030140; GO:0030198; GO:0030199; GO:0030424; GO:0030425; GO:0030670; GO:0031069; GO:0031901; GO:0032588; GO:0032767; GO:0033162; GO:0042093; GO:0042414; GO:0042415; GO:0042417; GO:0042421; GO:0042428; GO:0043005; GO:0043025; GO:0043473; GO:0043524; GO:0043588; GO:0043682; GO:0045914; GO:0046034; GO:0048023; GO:0048251; GO:0048286; GO:0048471; GO:0048812; GO:0048813; GO:0051216; GO:0051402; GO:0051649; GO:0060003; GO:0070050; GO:0140581; GO:1903136
P09001	P09001	reviewed	RM03_HUMAN	Large ribosomal subunit protein uL3m (39S ribosomal protein L3, mitochondrial) (L3mt) (MRP-L3)	MRPL3 MRL3 RPML3	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; mitochondrial translation [GO:0032543]; translation [GO:0006412]	GO:0003723; GO:0003735; GO:0005739; GO:0005743; GO:0005762; GO:0006412; GO:0032543
Q9Y664	Q9Y664	reviewed	KPTN_HUMAN	KICSTOR complex protein kaptin (Actin-associated protein 2E4)	KPTN	glutamatergic synapse [GO:0098978]; KICSTOR complex [GO:0140007]; lamellipodium [GO:0030027]; lysosomal membrane [GO:0005765]; postsynaptic actin cytoskeleton [GO:0098871]; stereocilium [GO:0032420]; actin filament binding [GO:0051015]; actin filament organization [GO:0007015]; cellular response to amino acid starvation [GO:0034198]; cellular response to glucose starvation [GO:0042149]; negative regulation of TORC1 signaling [GO:1904262]; protein localization to lysosome [GO:0061462]	GO:0005765; GO:0007015; GO:0030027; GO:0032420; GO:0034198; GO:0042149; GO:0051015; GO:0061462; GO:0098871; GO:0098978; GO:0140007; GO:1904262
Q8IVH8	Q8IVH8	reviewed	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; intracellular signal transduction [GO:0035556]; JNK cascade [GO:0007254]; protein phosphorylation [GO:0006468]; response to tumor necrosis factor [GO:0034612]; response to UV [GO:0009411]	GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0006468; GO:0007254; GO:0008349; GO:0009411; GO:0034612; GO:0035556; GO:0106310
Q13277	Q13277	reviewed	STX3_HUMAN	Syntaxin-3	STX3 STX3A	apical plasma membrane [GO:0016324]; azurophil granule [GO:0042582]; cell-cell junction [GO:0005911]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; neuron projection [GO:0043005]; nucleus [GO:0005634]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; Schaffer collateral - CA1 synapse [GO:0098685]; SNARE complex [GO:0031201]; specific granule [GO:0042581]; vacuole [GO:0005773]; zymogen granule membrane [GO:0042589]; arachidonate binding [GO:0050544]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; exocytic insertion of neurotransmitter receptor to postsynaptic membrane [GO:0098967]; intracellular protein transport [GO:0006886]; long-term synaptic potentiation [GO:0060291]; neuron projection development [GO:0031175]; neurotransmitter transport [GO:0006836]; organelle membrane fusion [GO:0090174]; positive regulation of cell adhesion [GO:0045785]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemotaxis [GO:0050921]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to plasma membrane [GO:1903078]; regulation of gene expression [GO:0010468]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]; vesicle-mediated transport in synapse [GO:0099003]	GO:0000149; GO:0001750; GO:0001917; GO:0005484; GO:0005634; GO:0005773; GO:0005886; GO:0005911; GO:0006836; GO:0006886; GO:0006906; GO:0008284; GO:0010468; GO:0012505; GO:0016324; GO:0030027; GO:0030425; GO:0030426; GO:0031175; GO:0031201; GO:0042470; GO:0042581; GO:0042582; GO:0042589; GO:0043005; GO:0045785; GO:0048278; GO:0050544; GO:0050921; GO:0060291; GO:0070062; GO:0090174; GO:0098685; GO:0098793; GO:0098794; GO:0098967; GO:0098978; GO:0099003; GO:1903078; GO:2000010
Q96FZ5	Q96FZ5	reviewed	CKLF7_HUMAN	CKLF-like MARVEL transmembrane domain-containing protein 7 (Chemokine-like factor superfamily member 7)	CMTM7 CKLFSF7	extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; B-1a B cell differentiation [GO:0002337]; chemotaxis [GO:0006935]	GO:0002337; GO:0005125; GO:0005615; GO:0006935; GO:0016020
P60331	P60331	reviewed	KR101_HUMAN	Keratin-associated protein 10-1 (High sulfur keratin-associated protein 10.1) (Keratin-associated protein 10.1) (Keratin-associated protein 18-1) (Keratin-associated protein 18.1)	KRTAP10-1 KAP10.1 KAP18-1 KRTAP10.1 KRTAP18-1 KRTAP18.1	cytosol [GO:0005829]; keratin filament [GO:0045095]	GO:0005829; GO:0045095
Q9NZL3	Q9NZL3	reviewed	ZN224_HUMAN	Zinc finger protein 224 (Bone marrow zinc finger 2) (BMZF-2) (Zinc finger protein 233) (Zinc finger protein 255) (Zinc finger protein 27) (Zinc finger protein KOX22)	ZNF224 BMZF2 KOX22 ZNF233 ZNF255 ZNF27	nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0001227; GO:0005634; GO:0005654; GO:0006357; GO:0008270; GO:0017053; GO:0031965; GO:0043565; GO:0045892
Q15646	Q15646	reviewed	OASL_HUMAN	2'-5'-oligoadenylate synthase-like protein (2'-5'-OAS-related protein) (2'-5'-OAS-RP) (59 kDa 2'-5'-oligoadenylate synthase-like protein) (Thyroid receptor-interacting protein 14) (TR-interacting protein 14) (TRIP-14) (p59 OASL) (p59OASL)	OASL TRIP14	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; double-stranded RNA binding [GO:0003725]; nuclear thyroid hormone receptor binding [GO:0046966]; nucleotidyltransferase activity [GO:0016779]; RNA binding [GO:0003723]; antiviral innate immune response [GO:0140374]; defense response to virus [GO:0051607]; interleukin-27-mediated signaling pathway [GO:0070106]; negative regulation of viral genome replication [GO:0045071]; positive regulation of RIG-I signaling pathway [GO:1900246]; response to virus [GO:0009615]; type I interferon-mediated signaling pathway [GO:0060337]	GO:0003677; GO:0003723; GO:0003725; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0009615; GO:0016020; GO:0016779; GO:0045071; GO:0046966; GO:0051607; GO:0060337; GO:0070106; GO:0140374; GO:1900246
Q9C098	Q9C098	reviewed	DCLK3_HUMAN	Serine/threonine-protein kinase DCLK3 (EC 2.7.11.1) (Doublecortin domain-containing protein 3C) (Doublecortin-like and CAM kinase-like 3) (Doublecortin-like kinase 3)	DCLK3 DCAMKL3 DCDC3C KIAA1765	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein localization to nucleus [GO:0034504]	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0034504; GO:0106310
Q9UBS5	Q9UBS5	reviewed	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	GABBR1 GPRC3A	axolemma [GO:0030673]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; extracellular space [GO:0005615]; G protein-coupled GABA receptor complex [GO:1902712]; G protein-coupled receptor heterodimeric complex [GO:0038039]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; mitochondrial membrane [GO:0031966]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; presynaptic membrane [GO:0042734]; Schaffer collateral - CA1 synapse [GO:0098685]; synaptic vesicle [GO:0008021]; extracellular matrix protein binding [GO:1990430]; G protein-coupled GABA receptor activity [GO:0004965]; G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential [GO:0099579]; G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential [GO:0150047]; protein heterodimerization activity [GO:0046982]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; gamma-aminobutyric acid signaling pathway [GO:0007214]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of dopamine secretion [GO:0033602]; negative regulation of epinephrine secretion [GO:0032811]; negative regulation of gamma-aminobutyric acid secretion [GO:0014053]; negative regulation of synaptic transmission [GO:0050805]; neuron-glial cell signaling [GO:0150099]; osteoblast differentiation [GO:0001649]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of growth hormone secretion [GO:0060124]; response to ethanol [GO:0045471]; response to nicotine [GO:0035094]; synaptic transmission, GABAergic [GO:0051932]	GO:0001649; GO:0004965; GO:0005615; GO:0005789; GO:0005886; GO:0007193; GO:0007214; GO:0008021; GO:0008285; GO:0014049; GO:0014053; GO:0030673; GO:0031966; GO:0032811; GO:0033602; GO:0035094; GO:0038039; GO:0042734; GO:0043025; GO:0043197; GO:0043198; GO:0045211; GO:0045471; GO:0046982; GO:0050805; GO:0051932; GO:0060124; GO:0098685; GO:0098978; GO:0098982; GO:0099579; GO:0150047; GO:0150099; GO:1902712; GO:1990430
P10523	P10523	reviewed	ARRS_HUMAN	S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin)	SAG	cytosol [GO:0005829]; membrane [GO:0016020]; photoreceptor inner segment [GO:0001917]; photoreceptor outer segment [GO:0001750]; G protein-coupled receptor binding [GO:0001664]; opsin binding [GO:0002046]; phosphoprotein binding [GO:0051219]; protein phosphatase inhibitor activity [GO:0004864]; spectrin binding [GO:0030507]; cell surface receptor signaling pathway [GO:0007166]; G protein-coupled opsin signaling pathway [GO:0016056]; G protein-coupled receptor internalization [GO:0002031]; sensory perception [GO:0007600]	GO:0001664; GO:0001750; GO:0001917; GO:0002031; GO:0002046; GO:0004864; GO:0005829; GO:0007166; GO:0007600; GO:0016020; GO:0016056; GO:0030507; GO:0051219
Q9H6Z9	Q9H6Z9	reviewed	EGLN3_HUMAN	Prolyl hydroxylase EGLN3 (EC 1.14.11.-) (Egl nine homolog 3) (EC 1.14.11.29) (HPH-1) (Hypoxia-inducible factor prolyl hydroxylase 3) (HIF-PH3) (HIF-prolyl hydroxylase 3) (HPH-3) (Prolyl hydroxylase domain-containing protein 3) (PHD3)	EGLN3	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; ferrous iron binding [GO:0008198]; hypoxia-inducible factor-proline dioxygenase activity [GO:0160082]; L-ascorbic acid binding [GO:0031418]; peptidyl-proline 4-dioxygenase activity [GO:0031545]; apoptotic process [GO:0006915]; cellular response to hypoxia [GO:0071456]; DNA damage response [GO:0006974]; negative regulation of ferroptosis [GO:0110076]; protein hydroxylation [GO:0018126]; protein stabilization [GO:0050821]; regulation of neuron apoptotic process [GO:0043523]	GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006915; GO:0006974; GO:0008198; GO:0016706; GO:0018126; GO:0031418; GO:0031545; GO:0043523; GO:0050821; GO:0071456; GO:0110076; GO:0160082
